specimen,trinomial,sitename,context,region,region2,mortuary,length
3Bb1,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,131.5037
3Bb3,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,94.3363
3Bb4,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,92.0793
3Bb5,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,72.0949
3Bb6,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,146.7357
3Bb7,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,101.0797
3Bb8,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,83.7998
BlkThn,16CD12,Mounds Plantation,16cd12-bp2,SCA,SCA-north,yes,107.3962
Case2LG,16CD12,Mounds Plantation,16cd12-bp5,SCA,SCA-north,yes,149.3291
Case2SM,16CD12,Mounds Plantation,16cd12-bp5,SCA,SCA-north,yes,120.9068
666,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,199.4707
551,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,163.9165
622,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,161.2902
614,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,64.8445
613,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,92.3582
612,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,98.4037
611,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,114.8306
610,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,107.49
609,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,130.6773
608,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,129.3802
607,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,125.2065
606,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,150.1445
605,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,181.5256
593,16RR1,Gahagan Mound,16rr1-bp3,SCA,SCA-south,yes,246.2476
569,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,190.7678
550,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,121.3647
549,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,108.1385
548,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,119.8263
547,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,106.5601
546,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,156.8799
545,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,146.8326
544,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,148.7254
543,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,171.9795
542,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,95.8444
541,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,157.0695
533,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,114.1056
532,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,117.7216
490,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,105.2406
489,16RR1,Gahagan Mound,16rr1-bp2,SCA,SCA-south,yes,127.7488
4078-9,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,151.0481
424-39,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,217.1066
424-40,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,137.8055
424-41,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,185.9029
424-50,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,195.5831
424-53,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,205.55
463-16,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,128.0659
4078-22,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,100.1365
4078-32,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,104.2836
4078-45,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,116.8559
4078-72,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,113.0991
424-169,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,99.886
424-218,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,169.5278
424-221,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,176.6937
424-230,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,105.1862
424-33,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,98.1234
463-1,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,265.5225
463-23,41CE19,George C Davis,41ce19-f119,SCA,SCA-south,yes,101.2441
4078-8,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,170.5638
4078-11,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,117.2529
4078-12,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,115.4852
4078-13,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,116.9862
4078-14,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,95.4462
4078-14B,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,108.892
4078-30,41CE19,George C Davis,41ce19-f134,SCA,SCA-south,yes,113.6609
